"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2017","128.34","128.04","128.34","128.00","2.26M","0.38%"
"09/11/2017","127.85","127.15","127.91","127.15","1.35M","1.08%"
"09/08/2017","126.49","126.35","126.74","126.27","1.21M","-0.07%"
"09/07/2017","126.58","126.96","126.96","126.32","1.22M","-0.05%"
"09/06/2017","126.64","126.69","126.86","126.32","1.45M","0.28%"
"09/05/2017","126.29","126.92","127.10","125.69","2.32M","-0.77%"
"09/01/2017","127.27","127.23","127.46","127.12","2.12M","0.23%"
"08/31/2017","126.98","126.46","127.14","126.46","3.38M","0.68%"
"08/30/2017","126.12","125.46","126.28","125.38","1.73M","0.53%"
"08/29/2017","125.46","124.59","125.62","124.52","1.31M","0.04%"
"08/28/2017","125.41","125.66","125.66","125.11","1.79M","0.04%"
"08/25/2017","125.36","125.42","125.85","125.24","1.16M","0.24%"
"08/24/2017","125.06","125.50","125.63","124.94","1.38M","-0.16%"
"08/23/2017","125.26","125.07","125.51","125.02","1.27M","-0.30%"
"08/22/2017","125.64","124.73","125.75","124.56","2.09M","1.00%"
"08/21/2017","124.39","124.22","124.48","123.79","1.63M","0.14%"
"08/18/2017","124.21","124.48","124.94","123.95","2.84M","-0.17%"
"08/17/2017","124.42","126.09","126.28","124.42","3.44M","-1.59%"
"08/16/2017","126.43","126.50","126.80","126.23","1.38M","0.18%"
"08/15/2017","126.20","126.61","126.63","126.08","1.52M","-0.09%"
"08/14/2017","126.32","125.80","126.43","125.61","1.47M","1.02%"
"08/11/2017","125.04","124.94","125.33","124.80","2.04M","0.18%"
"08/10/2017","124.81","126.14","126.21","124.80","2.46M","-1.47%"
"08/09/2017","126.67","126.35","126.69","126.17","1.68M","-0.11%"
